order_id,customer_id,product_id,product_name,order_date,quantity,unit_price,total_amount,status,region,customer_segment
O00001,C4037,P002,Smartphone,2024-10-16,1,699.99,699.99,Cancelled,South,Premium
O00002,C1356,P002,Smartphone,2023-05-23,5,699.99,3499.95,Refunded,North,Premium
O00003,C3069,P004,Headphones,2023-04-06,2,149.99,299.98,Completed,Central,Premium
O00004,C1902,P009,Speaker,2024-10-27,4,199.99,799.96,Refunded,Central,Standard
O00005,C2393,P003,Tablet,2023-01-07,4,399.99,1599.96,Cancelled,South,Premium
O00006,C2556,P002,Smartphone,2023-12-11,1,699.99,699.99,Completed,East,Standard
O00007,C3988,P005,Keyboard,2024-09-10,1,79.99,79.99,Refunded,Central,Premium
O00008,C2200,P002,Smartphone,2024-01-23,5,699.99,3499.95,Cancelled,Central,Premium
O00009,C3708,P002,Smartphone,2024-12-22,1,699.99,699.99,Pending,East,Premium
O00010,C2138,P002,Smartphone,2023-08-27,4,699.99,2799.96,Refunded,East,Premium
O00011,C3745,P006,Mouse,2024-01-15,2,29.99,59.98,Cancelled,North,Basic
O00012,C3986,P003,Tablet,2024-10-12,5,399.99,1999.95,Pending,South,Standard
O00013,C1899,P005,Keyboard,2024-01-24,5,79.99,399.95,Cancelled,North,Premium
O00014,C2096,P006,Mouse,2023-02-02,4,29.99,119.96,Completed,South,Basic
O00015,C2620,P004,Headphones,2023-11-19,4,149.99,599.96,Refunded,South,Standard
O00016,C3207,P004,Headphones,2023-05-23,5,149.99,749.95,Cancelled,Central,Standard
O00017,C1898,P007,Monitor,2024-08-20,3,299.99,899.97,Pending,Central,Standard
O00018,C1626,P001,Laptop,2023-04-04,1,999.99,999.99,Pending,West,Basic
O00019,C3440,P007,Monitor,2023-03-07,4,299.99,1199.96,Refunded,Central,Standard
O00020,C3792,P001,Laptop,2024-07-20,1,999.99,999.99,Cancelled,East,Premium
O00021,C2858,P007,Monitor,2023-10-28,2,299.99,599.98,Completed,East,Basic
O00022,C4565,P009,Speaker,2023-07-02,1,199.99,199.99,Cancelled,Central,Basic
O00023,C4123,P003,Tablet,2023-07-23,3,399.99,1199.97,Pending,Central,Basic
O00024,C3001,P010,Charger,2023-01-01,3,49.99,149.97,Completed,North,Standard
O00025,C1986,P004,Headphones,2023-11-11,1,149.99,149.99,Completed,North,Basic
O00026,C4136,P002,Smartphone,2024-05-12,5,699.99,3499.95,Pending,South,Basic
O00027,C2085,P009,Speaker,2024-05-01,2,199.99,399.98,Refunded,South,Basic
O00028,C2634,P004,Headphones,2024-12-07,3,149.99,449.97,Cancelled,West,Basic
O00029,C1920,P002,Smartphone,2024-04-07,2,699.99,1399.98,Completed,East,Premium
O00030,C3410,P009,Speaker,2024-08-25,2,199.99,399.98,Pending,North,Premium
O00031,C1276,P001,Laptop,2024-12-25,2,999.99,1999.98,Completed,East,Premium
O00032,C3740,P004,Headphones,2024-06-10,3,149.99,449.97,Refunded,South,Basic
O00033,C2936,P010,Charger,2023-05-16,5,49.99,249.95,Pending,West,Standard
O00034,C3699,P002,Smartphone,2023-07-14,1,699.99,699.99,Refunded,East,Standard
O00035,C3758,P008,Webcam,2024-02-25,1,89.99,89.99,Completed,North,Standard
O00036,C1784,P002,Smartphone,2023-12-14,2,699.99,1399.98,Pending,Central,Standard
O00037,C2140,P007,Monitor,2023-05-24,2,299.99,599.98,Refunded,South,Premium
O00038,C1207,P009,Speaker,2024-03-29,1,199.99,199.99,Completed,North,Premium
O00039,C2971,P007,Monitor,2023-06-20,4,299.99,1199.96,Pending,West,Premium
O00040,C2599,P007,Monitor,2023-06-18,1,299.99,299.99,Cancelled,West,Standard
O00041,C1634,P009,Speaker,2024-03-09,4,199.99,799.96,Pending,East,Premium
O00042,C1249,P010,Charger,2023-03-01,5,49.99,249.95,Cancelled,North,Premium
O00043,C4765,P008,Webcam,2024-08-21,5,89.99,449.95,Pending,North,Basic
O00044,C3437,P003,Tablet,2023-03-24,1,399.99,399.99,Completed,South,Standard
O00045,C3371,P010,Charger,2023-05-03,2,49.99,99.98,Completed,Central,Premium
O00046,C3141,P010,Charger,2024-03-05,5,49.99,249.95,Cancelled,East,Premium
